Date,Open,High,Low,Close,Adj Close,Volume
1999-07-22,127.625000,128.500000,123.500000,123.875000,90.723763,8869100
1999-07-23,124.000000,125.437500,122.625000,124.812500,91.410400,6964200
1999-07-26,123.625000,125.125000,122.750000,123.000000,90.082909,5519900
1999-07-27,125.000000,126.500000,123.562500,126.250000,92.463150,6513500
1999-07-28,126.375000,128.687500,125.812500,128.375000,94.019501,5287600
1999-07-29,126.250000,126.625000,124.625000,125.375000,91.822327,5707500
1999-07-30,125.937500,126.687500,124.375000,125.687500,92.051155,4324900
1999-08-02,124.000000,126.000000,121.812500,122.250000,89.533615,4565100
1999-08-03,122.750000,123.125000,118.187500,119.375000,87.428032,6855900
1999-08-04,120.000000,121.875000,118.062500,118.500000,86.787224,5754800
1999-08-05,120.000000,124.000000,117.562500,123.187500,90.220253,7364500
1999-08-06,122.000000,127.000000,121.000000,123.500000,90.537315,6142600
1999-08-09,123.625000,124.437500,121.125000,122.187500,89.575119,4048100
1999-08-10,121.500000,122.500000,118.937500,119.312500,87.467461,5846200
1999-08-11,120.125000,123.750000,119.812500,123.312500,90.399849,5543000
1999-08-12,123.750000,123.812500,121.000000,121.125000,88.796227,5027800
1999-08-13,122.750000,124.500000,122.000000,123.375000,90.445663,4400400
1999-08-16,125.000000,127.875000,124.500000,127.375000,93.378044,4889000
1999-08-17,128.500000,128.562500,126.562500,128.500000,94.202789,5136400
1999-08-18,128.375000,129.625000,123.500000,123.875000,90.812233,6607000
1999-08-19,123.875000,124.875000,121.250000,122.937500,90.124939,7583300
1999-08-20,124.375000,124.375000,121.062500,121.750000,89.254402,5962000
1999-08-23,122.750000,124.875000,122.312500,124.437500,91.224571,6043500
1999-08-24,123.375000,123.625000,121.000000,122.000000,89.437683,8442100
1999-08-25,122.000000,124.062500,120.875000,122.375000,89.712563,6463000
1999-08-26,122.625000,125.875000,122.062500,122.937500,90.124939,6245300
1999-08-27,125.000000,125.187500,122.750000,124.000000,90.903854,4354600
1999-08-30,124.250000,125.625000,122.687500,123.187500,90.308228,4773000
1999-08-31,124.375000,126.000000,122.875000,124.562500,91.316246,6214400
1999-09-01,125.625000,128.500000,125.500000,127.250000,93.286453,6264400
1999-09-02,126.500000,126.750000,124.250000,125.875000,92.278419,5583100
1999-09-03,128.375000,129.750000,128.000000,128.859299,94.466179,5282900
1999-09-07,128.875000,132.687500,128.375000,132.000000,96.768616,7552900
1999-09-08,131.500000,133.937500,130.687500,130.750000,95.852257,7206100
1999-09-09,132.500000,136.500000,131.625000,134.750000,98.784622,8423100
1999-09-10,137.500000,137.687500,134.375000,135.000000,98.967911,5089300
1999-09-13,134.625000,135.562500,132.000000,132.375000,97.043526,4442300
1999-09-14,132.000000,133.562500,131.937500,133.312500,97.730774,4590700
1999-09-15,134.000000,135.000000,131.937500,131.937500,96.722778,5655400
1999-09-16,132.000000,132.375000,129.562500,130.000000,95.302452,6092600
1999-09-17,131.375000,131.437500,123.750000,125.375000,91.911827,14857800
1999-09-20,126.500000,130.875000,126.000000,130.125000,95.394089,7543000
1999-09-21,128.750000,129.625000,126.250000,127.125000,93.194794,6983600
1999-09-22,127.187500,127.250000,124.375000,125.187500,91.774414,8091900
1999-09-23,127.500000,127.812500,121.437500,122.000000,89.437683,7590000
1999-09-24,120.500000,125.000000,120.437500,125.000000,91.636971,7450800
1999-09-27,126.625000,126.812500,121.375000,123.000000,90.170753,7075100
1999-09-28,123.000000,124.750000,121.687500,123.500000,90.537315,7103400
1999-09-29,122.062500,122.812500,120.000000,120.062500,88.017311,8775600
1999-09-30,121.000000,122.250000,119.625000,121.000000,88.704567,6642500
1999-10-01,121.000000,121.062500,115.500000,117.750000,86.321991,10558900
1999-10-04,118.000000,120.000000,116.750000,119.875000,87.879852,7042000
1999-10-05,122.000000,123.250000,119.062500,122.000000,89.437683,6435700
1999-10-06,122.250000,122.750000,119.062500,119.187500,87.375832,8054900
1999-10-07,119.125000,119.187500,115.062500,116.375000,85.314018,14240000
1999-10-08,115.000000,115.062500,111.062500,113.500000,83.206375,17867900
1999-10-11,113.500000,116.687500,113.125000,114.250000,83.756157,7827100
1999-10-12,114.000000,114.875000,110.000000,110.000000,80.640533,8274900
1999-10-13,110.812500,110.875000,105.000000,105.062500,77.020866,15015000
1999-10-14,106.500000,107.250000,104.687500,107.000000,78.441246,14178500
1999-10-15,106.437500,108.875000,103.875000,107.875000,79.082642,13920700
1999-10-18,108.000000,109.000000,104.687500,107.000000,78.441246,9678300
1999-10-19,107.000000,108.500000,105.437500,107.125000,78.532867,9184700
1999-10-20,108.625000,113.062500,107.000000,107.000000,78.441246,11376700
1999-10-21,93.000000,93.000000,89.000000,91.000000,66.711723,69444700
1999-10-22,93.750000,94.625000,92.500000,93.937500,68.865135,26668700
1999-10-25,94.250000,95.125000,92.125000,93.875000,68.819344,13765400
1999-10-26,94.875000,96.000000,94.625000,95.500000,70.010628,11367400
1999-10-27,95.500000,95.562500,92.812500,93.000000,68.177910,9871400
1999-10-28,94.500000,95.312500,94.250000,94.937500,69.598221,9446700
1999-10-29,97.000000,99.000000,96.250000,98.250000,72.026657,11078500
1999-11-01,98.500000,98.812500,96.375000,96.750000,70.927010,9551800
1999-11-02,96.750000,96.812500,93.687500,94.812500,69.506668,11105400
1999-11-03,95.875000,95.937500,93.500000,94.375000,69.185905,10369100
1999-11-04,94.437500,94.437500,90.000000,91.562500,67.124107,16697600
1999-11-05,92.750000,92.937500,90.187500,90.250000,66.161865,13737600
1999-11-08,90.500000,93.937500,90.500000,93.937500,68.956863,8522300
1999-11-09,95.062500,95.500000,92.125000,93.625000,68.727448,9551200
1999-11-10,94.625000,97.062500,94.125000,97.000000,71.204956,8680300
1999-11-11,97.500000,97.500000,94.875000,95.000000,69.736801,7147500
1999-11-12,96.000000,96.250000,93.000000,95.875000,70.379135,9668400
1999-11-15,96.000000,96.375000,93.875000,94.062500,69.048599,6259400
1999-11-16,94.625000,95.000000,93.000000,94.625000,69.461517,8537400
1999-11-17,94.875000,94.875000,92.625000,93.750000,68.819229,8355100
1999-11-18,94.000000,98.250000,93.562500,98.000000,71.939041,18720500
1999-11-19,99.000000,105.125000,98.375000,103.937500,76.297585,19678400
1999-11-22,105.500000,108.437500,104.437500,107.875000,79.187996,13681600
1999-11-23,108.812500,109.875000,106.000000,106.062500,77.857483,10665200
1999-11-24,105.000000,105.000000,101.812500,104.500000,76.710495,9710400
1999-11-26,105.937500,106.000000,104.125000,105.000000,77.077507,3108400
1999-11-29,104.937500,104.937500,103.375000,104.187500,76.481087,5677700
1999-11-30,103.687500,104.500000,102.125000,103.062500,75.655251,5758700
1999-12-01,102.562500,104.437500,102.250000,103.421799,75.918999,5336400
1999-12-02,103.437500,106.312500,103.375000,105.265602,77.272484,6216900
1999-12-03,109.812500,112.875000,107.937500,111.875000,82.124260,14680300
1999-12-06,113.000000,116.500000,112.500000,116.000000,85.152336,9928300
1999-12-07,117.000000,119.187500,115.437500,116.625000,85.611107,11326100
1999-12-08,116.250000,121.000000,115.500000,118.281197,86.826889,8139800
1999-12-09,120.500000,122.125000,112.250000,113.375000,83.225380,16643000
1999-12-10,111.625000,111.937500,107.562500,109.000000,80.013840,12588800
1999-12-13,108.125000,112.750000,106.562500,109.703102,80.529907,7135200
1999-12-14,110.187500,110.187500,106.875000,109.250000,80.197334,7437900
1999-12-15,107.750000,107.937500,104.500000,107.000000,78.545685,9437900
1999-12-16,108.000000,109.687500,105.750000,109.187500,80.151474,7122300
1999-12-17,110.687500,111.062500,108.625000,110.000000,80.747894,7676800
1999-12-20,109.062500,110.437500,107.750000,109.203102,80.162888,4836300
1999-12-21,108.500000,110.125000,108.062500,110.125000,80.839653,4773500
1999-12-22,109.875000,110.312500,108.000000,108.000000,79.279732,4005600
1999-12-23,109.125000,110.437500,108.187500,108.625000,79.738548,4528700
1999-12-27,109.687500,110.000000,108.125000,109.750000,80.564400,3740700
1999-12-28,109.562500,110.750000,109.062500,109.812500,80.610229,4083100
1999-12-29,110.437500,110.500000,108.750000,109.000000,80.013840,2683300
1999-12-30,109.687500,110.500000,108.562500,108.750000,79.830299,3435100
1999-12-31,109.187500,109.500000,106.625000,107.875000,79.187996,2870300
2000-01-03,112.437500,116.000000,111.875000,116.000000,85.152336,10347700
